Timestamp,TrackID,Azimuth_Deg,Elevation_Deg,Range_m,Confidence,True_Azimuth_Deg,True_Elevation_Deg,True_Range_m
2026-01-11T15:10:59.354171Z,TRK001_LINEAR,0.4005,6.3187,505.88,0.8988,0.0000,5.7106,502.49
2026-01-11T15:11:00.354171Z,TRK001_LINEAR,358.2510,8.2054,486.23,0.9028,0.0000,5.9469,482.60
2026-01-11T15:11:01.354171Z,TRK001_LINEAR,359.9351,4.9838,463.92,0.9072,0.0000,6.2034,462.71
2026-01-11T15:11:02.354171Z,TRK001_LINEAR,0.0065,5.5604,451.99,0.9096,0.0000,6.4831,442.83
2026-01-11T15:11:03.354171Z,TRK001_LINEAR,358.9130,3.8629,445.25,0.9110,0.0000,6.7890,422.97
2026-01-11T15:11:04.354171Z,TRK001_LINEAR,359.5359,7.1098,403.44,0.9193,0.0000,7.1250,403.11
2026-01-11T15:11:05.354171Z,TRK001_LINEAR,0.7704,5.4924,374.30,0.9251,0.0000,7.4959,383.28
2026-01-11T15:11:06.354171Z,TRK001_LINEAR,359.7458,7.6936,374.88,0.9250,0.0000,7.9072,363.46
2026-01-11T15:11:07.354171Z,TRK001_LINEAR,357.8452,10.0829,319.22,0.9362,0.0000,8.3659,343.66
2026-01-11T15:11:09.354171Z,TRK001_LINEAR,0.0669,7.8346,298.21,0.9404,0.0000,9.4623,304.14
2026-01-11T15:11:10.354171Z,TRK001_LINEAR,0.2739,8.6043,284.71,0.9431,0.0000,10.1247,284.43
2026-01-11T15:11:11.354171Z,TRK001_LINEAR,359.8741,9.6979,288.26,0.9423,0.0000,10.8855,264.76
2026-01-11T15:11:12.354171Z,TRK001_LINEAR,1.3869,12.2938,247.63,0.9505,0.0000,11.7683,245.15
2026-01-11T15:11:13.354171Z,TRK001_LINEAR,0.5143,12.2456,210.82,0.9578,0.0000,12.8043,225.61
2026-01-11T15:11:14.354171Z,TRK001_LINEAR,0.6995,14.7858,202.35,0.9595,0.0000,14.0362,206.16
2026-01-11T15:11:15.354171Z,TRK001_LINEAR,359.0840,14.8237,201.02,0.9598,0.0000,15.5241,186.82
2026-01-11T15:11:16.354171Z,TRK001_LINEAR,1.2442,19.2890,177.01,0.9646,0.0000,17.3540,167.63
2026-01-11T15:11:17.354171Z,TRK001_LINEAR,358.0125,19.5135,145.77,0.9708,0.0000,19.6538,148.66
2026-01-11T15:11:18.354171Z,TRK001_LINEAR,359.5965,22.5995,126.85,0.9746,0.0000,22.6199,130.00
2026-01-11T15:11:19.354171Z,TRK001_LINEAR,358.8757,27.7277,105.54,0.9789,0.0000,26.5651,111.80
2026-01-11T15:11:20.354171Z,TRK001_LINEAR,359.8196,28.5060,83.76,0.9832,0.0000,32.0054,94.34
2026-01-11T15:11:21.354171Z,TRK001_LINEAR,358.6405,41.6312,88.25,0.9824,0.0000,39.8056,78.10
2026-01-11T15:11:22.354171Z,TRK001_LINEAR,0.5030,54.7836,79.63,0.9841,0.0000,51.3402,64.03
2026-01-11T15:11:23.354171Z,TRK001_LINEAR,358.8623,67.3522,46.13,0.9908,0.0000,68.1986,53.85
2026-01-11T15:11:24.354171Z,TRK001_LINEAR,359.3827,90.0000,50.11,0.9900,0.0000,90.0000,50.00
2026-01-11T15:11:25.354171Z,TRK001_LINEAR,181.8713,65.2590,55.89,0.9888,180.0000,68.1986,53.85
2026-01-11T15:11:26.354171Z,TRK001_LINEAR,179.4995,52.1565,49.65,0.9901,180.0000,51.3402,64.03
2026-01-11T15:11:27.354171Z,TRK001_LINEAR,179.5388,38.1760,75.73,0.9849,180.0000,39.8056,78.10
2026-01-11T15:11:28.354171Z,TRK001_LINEAR,181.5413,33.0144,99.02,0.9802,180.0000,32.0054,94.34
2026-01-11T15:11:29.354171Z,TRK001_LINEAR,181.1697,29.2599,104.95,0.9790,180.0000,26.5651,111.80
2026-01-11T15:11:30.354171Z,TRK001_LINEAR,180.2767,22.6537,122.67,0.9755,180.0000,22.6199,130.00
2026-01-11T15:11:31.354171Z,TRK001_LINEAR,180.3560,20.9409,140.42,0.9719,180.0000,19.6538,148.66
2026-01-11T15:11:32.354171Z,TRK001_LINEAR,180.6343,17.8263,165.82,0.9668,180.0000,17.3540,167.63
2026-01-11T15:11:33.354171Z,TRK001_LINEAR,180.2595,15.7518,185.57,0.9629,180.0000,15.5241,186.82
2026-01-11T15:11:34.354171Z,TRK001_LINEAR,178.6199,14.1404,209.37,0.9581,180.0000,14.0362,206.16
2026-01-11T15:11:36.354171Z,TRK001_LINEAR,180.2472,11.6348,215.41,0.9569,180.0000,11.7683,245.15
2026-01-11T15:11:37.354171Z,TRK001_LINEAR,181.0856,12.3011,271.94,0.9456,180.0000,10.8855,264.76
2026-01-11T15:11:38.354171Z,TRK001_LINEAR,179.9483,11.4618,286.48,0.9427,180.0000,10.1247,284.43
2026-01-11T15:11:39.354171Z,TRK001_LINEAR,180.1199,8.5896,304.82,0.9390,180.0000,9.4623,304.14
2026-01-11T15:11:40.354171Z,TRK001_LINEAR,178.0615,7.8622,324.76,0.9350,180.0000,8.8807,323.88
2026-01-11T15:11:41.354171Z,TRK001_LINEAR,179.7501,10.2295,365.73,0.9269,180.0000,8.3659,343.66
2026-01-11T15:11:42.354171Z,TRK001_LINEAR,180.6087,8.0960,355.00,0.9290,180.0000,7.9072,363.46
2026-01-11T15:11:43.354171Z,TRK001_LINEAR,180.9461,8.0772,388.22,0.9224,180.0000,7.4959,383.28
2026-01-11T15:11:44.354171Z,TRK001_LINEAR,180.7302,6.9477,406.35,0.9187,180.0000,7.1250,403.11
2026-01-11T15:11:45.354171Z,TRK001_LINEAR,179.4482,5.1560,422.01,0.9156,180.0000,6.7890,422.97
2026-01-11T15:11:46.354171Z,TRK001_LINEAR,180.9583,6.1408,444.71,0.9111,180.0000,6.4831,442.83
2026-01-11T15:11:47.354171Z,TRK001_LINEAR,179.9344,6.8859,456.31,0.9087,180.0000,6.2034,462.71
2026-01-11T15:11:48.354171Z,TRK001_LINEAR,179.4009,5.1840,491.86,0.9016,180.0000,5.9469,482.60
2026-01-11T15:11:49.354171Z,TRK001_LINEAR,180.0093,6.9512,507.68,0.8985,180.0000,5.7106,502.49
2026-01-11T15:11:51.354171Z,TRK001_LINEAR,179.8639,3.5949,561.75,0.8876,180.0000,5.2901,542.31
2026-01-11T15:11:52.354171Z,TRK001_LINEAR,180.3326,4.0368,561.35,0.8877,180.0000,5.1022,562.23
2026-01-11T15:11:53.354171Z,TRK001_LINEAR,179.6748,6.6233,571.96,0.8856,180.0000,4.9271,582.15
2026-01-11T15:11:54.354171Z,TRK001_LINEAR,179.1494,6.5669,584.64,0.8831,180.0000,4.7636,602.08
2026-01-11T15:11:55.354171Z,TRK001_LINEAR,180.0124,4.4356,612.64,0.8775,180.0000,4.6106,622.01
2026-01-11T15:11:56.354171Z,TRK001_LINEAR,179.1435,4.5473,634.25,0.8731,180.0000,4.4672,641.95
2026-01-11T15:11:57.354171Z,TRK001_LINEAR,180.0611,2.1253,662.92,0.8674,180.0000,4.3323,661.89
2026-01-11T15:11:58.354171Z,TRK001_LINEAR,180.6684,4.1856,677.27,0.8645,180.0000,4.2054,681.84
