Timestamp,TrackID,Azimuth_Deg,Elevation_Deg,Range_m,Confidence,True_Azimuth_Deg,True_Elevation_Deg,True_Range_m
2026-01-11T15:10:59.358554Z,TRK002_CIRCULAR,51.0747,17.9018,324.85,0.9350,51.3402,17.3461,335.41
2026-01-11T15:11:00.358554Z,TRK002_CIRCULAR,50.5174,16.8983,318.55,0.9363,50.0614,17.0994,340.10
2026-01-11T15:11:01.358554Z,TRK002_CIRCULAR,47.4451,19.2865,352.50,0.9295,48.6843,16.9146,343.71
2026-01-11T15:11:02.358554Z,TRK002_CIRCULAR,47.9537,14.0272,350.79,0.9298,47.2380,16.7916,346.15
2026-01-11T15:11:03.358554Z,TRK002_CIRCULAR,46.6344,16.9390,340.29,0.9319,45.7505,16.7302,347.39
2026-01-11T15:11:05.358554Z,TRK002_CIRCULAR,44.4024,16.5835,359.51,0.9281,42.7620,16.7916,346.15
2026-01-11T15:11:06.358554Z,TRK002_CIRCULAR,42.3935,16.3112,338.11,0.9324,41.3157,16.9146,343.71
2026-01-11T15:11:07.358554Z,TRK002_CIRCULAR,39.8945,19.5138,341.43,0.9317,39.9386,17.0994,340.10
2026-01-11T15:11:08.358554Z,TRK002_CIRCULAR,39.1979,18.2824,325.71,0.9349,38.6598,17.3461,335.41
2026-01-11T15:11:09.358554Z,TRK002_CIRCULAR,37.2402,15.2653,330.47,0.9339,37.5099,17.6545,329.73
2026-01-11T15:11:10.358554Z,TRK002_CIRCULAR,37.3010,16.1000,317.12,0.9366,36.5210,18.0239,323.19
2026-01-11T15:11:11.358554Z,TRK002_CIRCULAR,35.1878,19.6073,321.23,0.9358,35.7264,18.4521,315.94
2026-01-11T15:11:12.358554Z,TRK002_CIRCULAR,33.9222,17.4161,306.44,0.9387,35.1610,18.9354,308.16
2026-01-11T15:11:13.358554Z,TRK002_CIRCULAR,33.5555,20.9326,312.43,0.9375,34.8593,19.4673,300.06
2026-01-11T15:11:14.358554Z,TRK002_CIRCULAR,34.3660,20.0212,277.79,0.9444,34.8549,20.0375,291.86
2026-01-11T15:11:15.358554Z,TRK002_CIRCULAR,34.4128,22.8081,274.55,0.9451,35.1766,20.6312,283.81
2026-01-11T15:11:16.358554Z,TRK002_CIRCULAR,35.1980,21.5335,277.54,0.9445,35.8457,21.2280,276.18
2026-01-11T15:11:17.358554Z,TRK002_CIRCULAR,37.7191,19.6027,257.88,0.9484,36.8699,21.8014,269.26
2026-01-11T15:11:18.358554Z,TRK002_CIRCULAR,38.4027,20.5524,253.24,0.9494,38.2384,22.3203,263.31
2026-01-11T15:11:19.358554Z,TRK002_CIRCULAR,40.6442,22.4305,265.59,0.9469,39.9162,22.7506,258.58
2026-01-11T15:11:20.358554Z,TRK002_CIRCULAR,42.4598,21.9481,254.61,0.9491,41.8419,23.0598,255.30
2026-01-11T15:11:21.358554Z,TRK002_CIRCULAR,43.7164,23.2481,268.89,0.9462,43.9287,23.2217,253.62
2026-01-11T15:11:22.358554Z,TRK002_CIRCULAR,44.8519,24.0095,246.35,0.9507,46.0713,23.2217,253.62
2026-01-11T15:11:23.358554Z,TRK002_CIRCULAR,47.6758,25.5508,247.48,0.9505,48.1581,23.0598,255.30
2026-01-11T15:11:24.358554Z,TRK002_CIRCULAR,51.9694,23.4832,258.35,0.9483,50.0838,22.7506,258.58
2026-01-11T15:11:25.358554Z,TRK002_CIRCULAR,49.8231,20.5450,246.06,0.9508,51.7616,22.3203,263.31
2026-01-11T15:11:26.358554Z,TRK002_CIRCULAR,53.3929,21.5116,266.35,0.9467,53.1301,21.8014,269.26
2026-01-11T15:11:27.358554Z,TRK002_CIRCULAR,54.6877,18.4035,277.58,0.9445,54.1543,21.2280,276.18
2026-01-11T15:11:28.358554Z,TRK002_CIRCULAR,54.2817,21.8016,274.30,0.9451,54.8234,20.6312,283.81
2026-01-11T15:11:29.358554Z,TRK002_CIRCULAR,54.3881,20.5162,299.47,0.9401,55.1451,20.0375,291.86
2026-01-11T15:11:30.358554Z,TRK002_CIRCULAR,55.3566,21.1781,306.37,0.9387,55.1407,19.4673,300.06
2026-01-11T15:11:31.358554Z,TRK002_CIRCULAR,56.7609,18.9749,307.19,0.9386,54.8390,18.9354,308.16
2026-01-11T15:11:32.358554Z,TRK002_CIRCULAR,56.5197,19.2240,307.21,0.9386,54.2736,18.4521,315.94
2026-01-11T15:11:33.358554Z,TRK002_CIRCULAR,53.8615,19.3768,310.27,0.9379,53.4790,18.0239,323.19
2026-01-11T15:11:34.358554Z,TRK002_CIRCULAR,54.2942,19.4085,330.98,0.9338,52.4901,17.6545,329.73
2026-01-11T15:11:35.358554Z,TRK002_CIRCULAR,51.3131,16.0999,334.17,0.9332,51.3402,17.3461,335.41
2026-01-11T15:11:36.358554Z,TRK002_CIRCULAR,50.0671,18.5079,339.19,0.9322,50.0614,17.0994,340.10
2026-01-11T15:11:37.358554Z,TRK002_CIRCULAR,47.7878,16.0063,320.06,0.9360,48.6843,16.9146,343.71
2026-01-11T15:11:38.358554Z,TRK002_CIRCULAR,49.2196,15.8604,356.99,0.9286,47.2380,16.7916,346.15
2026-01-11T15:11:39.358554Z,TRK002_CIRCULAR,46.7308,16.7506,339.37,0.9321,45.7505,16.7302,347.39
2026-01-11T15:11:40.358554Z,TRK002_CIRCULAR,44.0090,16.8542,349.86,0.9300,44.2495,16.7302,347.39
2026-01-11T15:11:41.358554Z,TRK002_CIRCULAR,42.8310,15.7047,341.65,0.9317,42.7620,16.7916,346.15
2026-01-11T15:11:42.358554Z,TRK002_CIRCULAR,40.4607,15.9556,360.80,0.9278,41.3157,16.9146,343.71
2026-01-11T15:11:43.358554Z,TRK002_CIRCULAR,39.1677,18.6705,332.95,0.9334,39.9386,17.0994,340.10
